track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,release_year,track_group,primary_genre,genre_grouped,relative_track_position,release_decade,log_artist_followers,high_popularity
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,8,83,True,Kendrick Lamar,89.0,44577310.0,"hip hop, west coast hip hop",4eLPsYPBmXABThSJ821sqY,DAMN.,2017-04-14,14,album,2.95,2017,humble. | kendrick lamar,hip hop,Other,0.5714285714285714,2010s,17.612735565574273,1
3WzNy6b7PZIlWbiyZcVj8d,I Put a Spell on You,1,50,False,Sylvia Black,32.0,3581.0,Unknown,5yxIeBwhxzGOOzinVpjMsg,I Put a Spell on You,2018-11-14,1,single,2.74,2018,i put a spell on you | sylvia black,Unknown,Unknown,1.0,2010s,8.183676582620658,0
14iN3o8ptQ8cFVZTEmyQRV,I Kissed A Girl,2,75,False,Katy Perry,83.0,38385499.0,pop,3OALgjCs6Lqw41853v4wEQ,One Of The Boys,2008-06-17,13,album,2.99,2008,i kissed a girl | katy perry,pop,pop,0.15384615384615385,2000s,17.463190342080882,1
2YFc0r6PUWDAeE38vJnCxR,ghost girl,5,72,True,Lil Peep,82.0,15684530.0,"emo rap, cloud rap",2tLt6wYVuseWCe6IwDSlTm,crybaby,2016-06-10,10,album,2.9,2016,ghost girl | lil peep,emo rap,emo rap,0.5,2010s,16.568185497980394,1
6HZdbb05lEXLvcmee3ZXO2,Don't Stay,2,57,False,Linkin Park,88.0,31785695.0,"nu metal, rap metal, rock, alternative metal",4Gfnly5CzMJQqkUFfoHaP3,Meteora,2003-03-25,13,album,3.13,2003,don't stay | linkin park,nu metal,nu metal,0.15384615384615385,2000s,17.274526935234192,0
3mPn97K8T07095yVSpYr6d,tonight you belong to me (feat. Paul & Carmella Costabile),5,45,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album,1.43,2019,tonight you belong to me (feat. paul & carmella costabile) | christina perri,soft pop,soft pop,0.25,2010s,15.275938819473176,0
3WOZcIibmurJult4Z7Wfce,Spin Me Around,9,63,False,The Marías,83.0,3767285.0,bedroom pop,5TkaDC4mYSLBvdG6UrIB0v,CINEMA,2021-06-25,13,album,2.45,2021,spin me around | the marías,bedroom pop,bedroom pop,0.6923076923076923,2020s,15.141865406276947,0
0JmiBCpWc1IAc0et7Xm7FL,Let Her Go,2,1,False,Passenger,67.0,3758140.0,folk pop,0yWveEIgWbV3oPq4ZA6BAj,All the Little Lights (Deluxe Version),2013-02-17,20,album,4.21,2013,let her go | passenger,folk pop,Other,0.1,2010s,15.139434978209115,0
75u9uswC5UMdtv4SQ3xSYf,The Night Is Still Young,13,71,True,Nicki Minaj,84.0,34293318.0,Unknown,40XGTQ7FN6Y3dZXJhKBe96,The Pinkprint (International Deluxe Explicit),2014-12-12,21,album,3.79,2014,the night is still young | nicki minaj,Unknown,Unknown,0.6190476190476191,2010s,17.35046111182271,1
694tcvGfrTw7YEfFHFZK9d,blue,1,0,True,LV,0.0,555.0,Unknown,1uWOEXWKLxJcJSCh3CJ2Qv,blue,2002-02-02,1,single,2.82,2002,blue | lv,Unknown,Unknown,1.0,2000s,6.320768294250582,0
