track_id,track_name,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_name,album_type,album_total_tracks,track_duration_min,release_year,release_decade,popularity_90_plus,recent_release,explicit_label,genre_available,artist_track_count,artist_10_plus,genre_track_count,genre_30_plus
6pymOcrCnMuCWdgGVTvUgP,3,61,False,Britney Spears,80.0,17755451.0,pop,The Singles Collection,compilation,58,3.55,2009,2000s,False,False,Non Explicit,Genre Available,24.0,10+ Tracks,303.0,30+ Tracks
2lWc1iJlz2NVcStV5fbtPG,Clouds,67,False,BUNT.,69.0,293734.0,stutter house,Clouds,single,1,2.65,2023,2020s,False,False,Non Explicit,Genre Available,1.0,Below 10 Tracks,2.0,Below 30 Tracks
1msEuwSBneBKpVCZQcFTsU,Forever & Always (Taylor’s Version),63,False,Taylor Swift,100.0,145396321.0,,Fearless (Taylor's Version),album,26,3.76,2021,2020s,False,False,Non Explicit,Genre Missing,331.0,10+ Tracks,,Genre Missing
7bcy34fBT2ap1L4bfPsl9q,I Didn't Change My Number,72,True,Billie Eilish,90.0,118692183.0,,Happier Than Ever,album,16,2.64,2021,2020s,False,False,Explicit,Genre Missing,61.0,10+ Tracks,,Genre Missing
0GLfodYacy3BJE7AI3A8en,Man Down,57,False,Rihanna,90.0,68997177.0,,Loud,album,13,4.45,2010,2010s,False,False,Non Explicit,Genre Missing,57.0,10+ Tracks,,Genre Missing
7H0ya83CMmgFcOhw0UB6ow,Space Song,77,False,Beach House,72.0,2803036.0,dream pop,Depression Cherry,album,9,5.34,2015,2010s,False,False,Non Explicit,Genre Available,5.0,Below 10 Tracks,17.0,Below 30 Tracks
41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,78,False,Billie Eilish,90.0,118692183.0,,dont smile at me,single,9,3.39,2017,2010s,False,False,Non Explicit,Genre Missing,61.0,10+ Tracks,,Genre Missing
13jRFAGT8qd6aBwtJySlUm,Allein Allein - BENNETT Remix,52,False,Alok,76.0,11247155.0,"brazilian bass, electronic, slap house, electro house",Allein Allein (feat. FREY) [BENNETT Remix],single,2,2.43,2024,2020s,False,True,Non Explicit,Genre Available,7.0,Below 10 Tracks,7.0,Below 30 Tracks
0N5zjRnf8AreOm95iSBXF4,Even My Dad Does Sometimes,50,False,Ed Sheeran,88.0,122773292.0,soft pop,x (Deluxe Edition),album,16,3.81,2014,2010s,False,False,Non Explicit,Genre Available,53.0,10+ Tracks,209.0,30+ Tracks
0qUcpOOna3kkrwfqky85e1,Eyes Blue Like The Atlantic (feat. Subvrbs),63,False,Sista Prod,48.0,68226.0,,Eyes Blue Like The Atlantic (feat. Subvrbs),single,1,2.58,2020,2020s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
5JLv62qFIS1DR3zGEcApRt,Wide Awake,75,False,Katy Perry,83.0,38385499.0,pop,Teenage Dream: The Complete Confection,album,19,3.68,2012,2010s,False,False,Non Explicit,Genre Available,60.0,10+ Tracks,303.0,30+ Tracks
3LtpKP5abr2qqjunvjlX5i,Doja,77,True,Central Cee,79.0,9666661.0,"uk drill, drill, uk grime, grime",Doja,single,1,1.62,2022,2020s,False,False,Explicit,Genre Available,4.0,Below 10 Tracks,3.0,Below 30 Tracks
1YTuMc934yzN1PKjSIaspV,Brave New Girl,40,False,Britney Spears,80.0,17755451.0,pop,In The Zone,album,13,3.47,2003,2000s,False,False,Non Explicit,Genre Available,24.0,10+ Tracks,303.0,30+ Tracks
779mhz1mAry946r91qzR1r,Cheerleader,45,False,Porter Robinson,59.0,1220599.0,"edm, electronic",Cheerleader,single,1,3.96,2024,2020s,False,True,Non Explicit,Genre Available,1.0,Below 10 Tracks,1.0,Below 30 Tracks
2i2gDpKKWjvnRTOZRhaPh2,Moonlight,74,False,Kali Uchis,83.0,9469943.0,,Moonlight,single,1,3.13,2023,2020s,False,False,Non Explicit,Genre Missing,8.0,Below 10 Tracks,,Genre Missing
4Qrxdjj3nFhjrqcnUU5r6a,Shine,54,False,Olly Alexander (Years & Years),68.0,2041384.0,,Communion (Deluxe),album,17,4.26,2015,2010s,False,False,Non Explicit,Genre Missing,3.0,Below 10 Tracks,,Genre Missing
63Lg0ZiNxedzbub29hv6VT,West Coast,60,False,Lana Del Rey,88.0,51773650.0,,Ultraviolence,album,15,4.28,2014,2010s,False,False,Non Explicit,Genre Missing,100.0,10+ Tracks,,Genre Missing
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,83,True,Kendrick Lamar,89.0,44577310.0,"hip hop, west coast hip hop",DAMN.,album,14,2.95,2017,2010s,False,False,Explicit,Genre Available,13.0,10+ Tracks,13.0,Below 30 Tracks
3WzNy6b7PZIlWbiyZcVj8d,I Put a Spell on You,50,False,Sylvia Black,32.0,3581.0,,I Put a Spell on You,single,1,2.74,2018,2010s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
14iN3o8ptQ8cFVZTEmyQRV,I Kissed A Girl,75,False,Katy Perry,83.0,38385499.0,pop,One Of The Boys,album,13,2.99,2008,2000s,False,False,Non Explicit,Genre Available,60.0,10+ Tracks,303.0,30+ Tracks
2YFc0r6PUWDAeE38vJnCxR,ghost girl,72,True,Lil Peep,82.0,15684530.0,"emo rap, cloud rap",crybaby,album,10,2.9,2016,2010s,False,False,Explicit,Genre Available,61.0,10+ Tracks,63.0,30+ Tracks
6HZdbb05lEXLvcmee3ZXO2,Don't Stay,57,False,Linkin Park,88.0,31785695.0,"nu metal, rap metal, rock, alternative metal",Meteora,album,13,3.13,2003,2000s,False,False,Non Explicit,Genre Available,38.0,10+ Tracks,38.0,30+ Tracks
